Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
AMRE,ABAB3,Amaranthus retroflexus L.,redroot amaranth,Amaranthaceae
AMRE,AMRES,Amaranthus retroflexus L. var. salicifolius I.M. Johnst.,hybrid violet,Amaranthaceae
AMSP,ABAB3,Amaranthus spinosus L.,spiny amaranth,Amaranthaceae
AMTU,ABAB3,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth,Amaranthaceae
AMTU,ACAL5,Acnida altissima (Riddell) Moq. ex Standl.,hybrid violet,Amaranthaceae
AMTU,ACALP,Acnida altissima (Riddell) Moq. ex Standl. var. prostrata (Uline & Bray) Fernald,hybrid violet,Amaranthaceae
AMTU,ACALS,Acnida altissima (Riddell) Moq. ex Standl. var. subnuda (S. Watson) Fernald,hybrid violet,Amaranthaceae
AMTU,ACCO8,Acnida concatenata (Moq.) Small,hybrid violet,Amaranthaceae
AMTU,ACSU,Acnida subnuda (S. Watson) Standl.,hybrid violet,Amaranthaceae
AMTU,ACTA,Acnida tamariscina auct. non (Nutt.) Alph. Wood,hybrid violet,Amaranthaceae
AMTU,ACTAP,Acnida tamariscina (Nutt.) Alph. Wood var. prostrata Uline & Bray,hybrid violet,Amaranthaceae
AMTU,ACTU,Acnida tuberculata Moq.,hybrid violet,Amaranthaceae
AMTU,AMAL5,Amaranthus altissimus Riddell,hybrid violet,Amaranthaceae
AMTU,AMAM7,Amaranthus ambigens Standl.,hybrid violet,Amaranthaceae
AMTU,AMRU,Amaranthus rudis Sauer,hybrid violet,Amaranthaceae
AMTU,AMTA3,Amaranthus tamariscinus auct. non Nutt.,hybrid violet,Amaranthaceae
AMTU,AMTUP,Amaranthus tuberculatus (Moq.) Sauer var. prostratus (Uline & Bray) B.L. Rob.,hybrid violet,Amaranthaceae
AMTU,AMTUS,Amaranthus tuberculatus (Moq.) Sauer var. subnudus S. Watson,hybrid violet,Amaranthaceae
CEAR3,ABAB3,Celosia argentea L.,silver cock's comb,Amaranthaceae
CEAR3,CEARC,Celosia argentea L. var. cristata (L.) Kuntze,hybrid violet,Amaranthaceae
