Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
MOFIF,ABAB3,Monarda fistulosa L. ssp. fistulosa,wild bergamot,Lamiaceae
MOFIF2,ABAB3,Monarda fistulosa L. ssp. fistulosa var. fistulosa,wild bergamot,Lamiaceae
MOFIM3,ABAB3,Monarda fistulosa L. ssp. fistulosa var. mollis (L.) Benth.,wild bergamot,Lamiaceae
MOFIM3,MOMO2,Monarda mollis L.,hybrid violet,Lamiaceae
MOFIM3,MOSC3,Monarda scabra Beck,hybrid violet,Lamiaceae
MOFIR,ABAB3,Monarda fistulosa L. ssp. fistulosa var. rubra A. Gray,wild bergamot,Lamiaceae
MOME,ABAB3,Monarda media Willd.,purple bergamot,Lamiaceae
MONAR,ABAB3,Monarda L.,beebalm,Lamiaceae
MOPU,ABAB3,Monarda punctata L.,spotted beebalm,Lamiaceae
MOPUP,ABAB3,Monarda punctata L. ssp. punctata,spotted beebalm,Lamiaceae
MOPUV,ABAB3,Monarda punctata L. ssp. punctata var. villicaulis (Pennell) Palmer & Steyerm.,spotted beebalm,Lamiaceae
MOPUV,MOPUV3,Monarda punctata L. ssp. villicaulis Pennell,hybrid violet,Lamiaceae
NECA2,ABAB3,Nepeta cataria L.,catnip,Lamiaceae
NEPET,ABAB3,Nepeta L.,catnip,Lamiaceae
OCBA,ABAB3,Ocimum basilicum L.,sweet basil,Lamiaceae
OCBA,OCAM2,Ocimum americanum L.,hybrid violet,Lamiaceae
OCIMU,ABAB3,Ocimum L.,basil,Lamiaceae
ORIGA,ABAB3,Origanum L.,origanum,Lamiaceae
ORVU,ABAB3,Origanum vulgare L.,oregano,Lamiaceae
PEFR4,ABAB3,Perilla frutescens (L.) Britton,beefsteakplant,Lamiaceae
PEFRC2,ABAB3,Perilla frutescens (L.) Britton var. crispa (Benth.) Deane,beefsteakplant,Lamiaceae
PEFRF2,ABAB3,Perilla frutescens (L.) Britton var. frutescens,beefsteakplant,Lamiaceae
PEFRF2,PEAR12,Perilla arguta Benth.,hybrid violet,Lamiaceae
PEFRF2,PEOC7,Perilla ocymoides L.,hybrid violet,Lamiaceae
PERIL,ABAB3,Perilla L.,perilla,Lamiaceae
PHVI8,ABAB3,Physostegia virginiana (L.) Benth.,obedient plant,Lamiaceae
PHVIV,ABAB3,Physostegia virginiana (L.) Benth. ssp. virginiana,obedient plant,Lamiaceae
PHVIV,DRDE5,Dracocephalum denticulatum Aiton,hybrid violet,Lamiaceae
PHVIV,DRFO,Dracocephalum formosius (Lunell) Rydb.,hybrid violet,Lamiaceae
PHVIV,DRVI3,Dracocephalum virginianum L.,hybrid violet,Lamiaceae
PHVIV,PHDE6,Physostegia denticulata (Aiton) Britton,hybrid violet,Lamiaceae
PHVIV,PHFO4,Physostegia formosior Lunell,hybrid violet,Lamiaceae
PHVIV,PHSP4,Physostegia speciosa (Sweet) Sweet,hybrid violet,Lamiaceae
PHVIV,PHVIE2,Physostegia virginiana (L.) Benth. var. elongata B. Boivin,hybrid violet,Lamiaceae
PHVIV,PHVIF,Physostegia virginiana (L.) Benth. var. formosior (Lunell) B. Boivin,hybrid violet,Lamiaceae
PHVIV,PHVIG,Physostegia virginiana (L.) Benth. var. granulosa (Fassett) Fernald,hybrid violet,Lamiaceae
PHVIV,PHVIS2,Physostegia virginiana (L.) Benth. var. speciosa (Sweet) A. Gray,hybrid violet,Lamiaceae
PHYSO2,ABAB3,Physostegia Benth.,lionsheart,Lamiaceae
PRUNE,ABAB3,Prunella L.,selfheal,Lamiaceae
PRVU,ABAB3,Prunella vulgaris L.,common selfheal,Lamiaceae
PRVUL2,ABAB3,Prunella vulgaris L. ssp. lanceolata (W. Bartram) Hultén,lance selfheal,Lamiaceae
PRVUL2,PRVUE,Prunella vulgaris L. var. elongata Benth.,hybrid violet,Lamiaceae
PRVUL2,PRVUL3,Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald,hybrid violet,Lamiaceae
PRVUV,ABAB3,Prunella vulgaris L. ssp. vulgaris,common selfheal,Lamiaceae
PRVUV,PRCA13,Prunella caroliniana Mill.,hybrid violet,Lamiaceae
PRVUV,PRVUA3,Prunella vulgaris L. var. atropurpurea Fernald,hybrid violet,Lamiaceae
PRVUV,PRVUC,Prunella vulgaris L. var. calvescens Fernald,hybrid violet,Lamiaceae
PRVUV,PRVUH,Prunella vulgaris L. var. hispida Benth.,hybrid violet,Lamiaceae
PRVUV,PRVUM,Prunella vulgaris L. var. minor Sm.,hybrid violet,Lamiaceae
PRVUV,PRVUN,Prunella vulgaris L. var. nana Clute,hybrid violet,Lamiaceae
PRVUV,PRVUP,Prunella vulgaris L. var. parviflora (Poir.) DC.,hybrid violet,Lamiaceae
PRVUV,PRVUR,Prunella vulgaris L. var. rouleauiana Vict.,hybrid violet,Lamiaceae
PRVUV,PRVUV2,Prunella vulgaris L. var. vulgaris,hybrid violet,Lamiaceae
PYCL,ABAB3,Pycnanthemum clinopodioides Torr. & A. Gray,basil mountainmint,Lamiaceae
PYCL,KOCL,Koellia clinopodioides (Torr. & A. Gray) Kuntze,hybrid violet,Lamiaceae
PYCNA,ABAB3,Pycnanthemum Michx.,mountainmint,Lamiaceae
PYIN,ABAB3,Pycnanthemum incanum (L.) Michx.,hoary mountainmint,Lamiaceae
PYINI,ABAB3,Pycnanthemum incanum (L.) Michx. var. incanum,hoary mountainmint,Lamiaceae
PYINI,CLIN7,Clinopodium incanum L.,hybrid violet,Lamiaceae
PYINI,KODU,Koellia dubia (A. Gray) Small,hybrid violet,Lamiaceae
PYINI,KOIN,Koellia incana (L.) Kuntze,hybrid violet,Lamiaceae
PYMU,ABAB3,Pycnanthemum muticum (Michx.) Pers.,clustered mountainmint,Lamiaceae
PYMU,KOMU2,Koellia mutica (Michx.) Kuntze,hybrid violet,Lamiaceae
PYTE,ABAB3,Pycnanthemum tenuifolium Schrad.,narrowleaf mountainmint,Lamiaceae
PYTE,KOFL,Koellia flexuosa auct. non (Walter) MacMill.,hybrid violet,Lamiaceae
PYTE,PYFL4,"Pycnanthemum flexuosum auct. non (Walter) Britton, Sterns & Poggenb.",hybrid violet,Lamiaceae
PYTO,ABAB3,Pycnanthemum torrei Benth.,Torrey's mountainmint,Lamiaceae
PYVE,ABAB3,Pycnanthemum verticillatum (Michx.) Pers.,whorled mountainmint,Lamiaceae
PYVEP,ABAB3,Pycnanthemum verticillatum (Michx.) Pers. var. pilosum (Nutt.) Cooperr.,whorled mountainmint,Lamiaceae
PYVEP,KOPI,Koellia pilosa (Nutt.) Britton,hybrid violet,Lamiaceae
PYVEP,PYPI,Pycnanthemum pilosum Nutt.,hybrid violet,Lamiaceae
PYVEV,ABAB3,Pycnanthemum verticillatum (Michx.) Pers. var. verticillatum,whorled mountainmint,Lamiaceae
PYVEV,KOLE,Koellia leptodon (A. Gray) Small,hybrid violet,Lamiaceae
PYVEV,KOVE3,Koellia verticillata (Michx.) Kuntze,hybrid violet,Lamiaceae
PYVEV,PYLE,Pycnanthemum leptodon A. Gray,hybrid violet,Lamiaceae
PYVEV,PYTOL,Pycnanthemum torrei Benth. var. leptodon (A. Gray) Boomhour,hybrid violet,Lamiaceae
PYVEV,PYVIV,Pycnanthemum virginianum (L.) T. Dur. & B.D. Jacks. ex B.L. Rob. & Fernald var. verticillatum (Michx.) B. Boivin,hybrid violet,Lamiaceae
PYVI,ABAB3,Pycnanthemum virginianum (L.) T. Dur. & B.D. Jacks. ex B.L. Rob. & Fernald,Virginia mountainmint,Lamiaceae
PYVI,KOVI3,Koellia virginiana (L.) MacMill.,hybrid violet,Lamiaceae
SAAZ,ABAB3,Salvia azurea Michx. ex Lam.,azure blue sage,Lamiaceae
SAAZG,ABAB3,Salvia azurea Michx. ex Lam. var. grandiflora Benth.,pitcher sage,Lamiaceae
SAAZG,SAAZI,Salvia azurea Michx. ex Lam. ssp. intermedia Epling,hybrid violet,Lamiaceae
SAAZG,SAAZP,Salvia azurea Michx. ex Lam. ssp. pitcheri (Torr. ex Benth.) Epling,hybrid violet,Lamiaceae
SAAZG,SAPI3,Salvia pitcheri Torr. ex Benth.,hybrid violet,Lamiaceae
SAFA2,ABAB3,Salvia farinacea Benth.,mealycup sage,Lamiaceae
SAFA2,SAEA2,Salvia earlei Wooton & Standl.,hybrid violet,Lamiaceae
SAFA2,SAFAF,Salvia farinacea Benth. var. farinacea,hybrid violet,Lamiaceae
SAFA2,SAFAL,Salvia farinacea Benth. var. latifolia Shinners,hybrid violet,Lamiaceae
SAHO3,ABAB3,Satureja hortensis L.,summer savory,Lamiaceae
SALVI,ABAB3,Salvia L.,sage,Lamiaceae
SALY2,ABAB3,Salvia lyrata L.,lyreleaf sage,Lamiaceae
SAOF2,ABAB3,Salvia officinalis L.,kitchen sage,Lamiaceae
SAPR2,ABAB3,Salvia pratensis L.,introduced sage,Lamiaceae
SASC2,ABAB3,Salvia sclarea L.,Europe sage,Lamiaceae
SASC2,SASCT2,Salvia sclarea L. var. turkestaniana Mottet,hybrid violet,Lamiaceae
SASP6,ABAB3,Salvia splendens Sellow ex Roem. & Schult.,scarlet sage,Lamiaceae
SATUR,ABAB3,Satureja L.,savory,Lamiaceae
SAVE5,ABAB3,Salvia verticillata L.,lilac sage,Lamiaceae
SCGA,ABAB3,Scutellaria galericulata L.,marsh skullcap,Lamiaceae
SCGA,SCEP2,Scutellaria epilobiifolia A. Ham.,hybrid violet,Lamiaceae
SCGA,SCGAP3,Scutellaria galericulata L. ssp. pubescens (Benth.) Á. Löve & D. Löve,hybrid violet,Lamiaceae
SCGA,SCGAE,Scutellaria galericulata L. var. epilobiifolia (A. Ham.) Jordal,hybrid violet,Lamiaceae
SCGA,SCGAP,Scutellaria galericulata L. var. pubescens Benth.,hybrid violet,Lamiaceae
SCIN2,ABAB3,Scutellaria integrifolia L.,helmet flower,Lamiaceae
SCIN2,SCINH2,Scutellaria incana Biehler ssp. hispida (Benth.) Epling,hybrid violet,Lamiaceae
SCIN2,SCINH,Scutellaria integrifolia L. var. hispida Benth.,hybrid violet,Lamiaceae
SCLA2,ABAB3,Scutellaria lateriflora L.,blue skullcap,Lamiaceae
SCLAL2,ABAB3,Scutellaria lateriflora L. var. lateriflora,blue skullcap,Lamiaceae
SCPA7,ABAB3,Scutellaria parvula Michx.,small skullcap,Lamiaceae
SCPAA2,ABAB3,Scutellaria parvula Michx. var. australis Fassett,small skullcap,Lamiaceae
SCPAA2,SCAU5,Scutellaria australis (Fassett) Epling,hybrid violet,Lamiaceae
SCPAM,ABAB3,Scutellaria parvula Michx. var. missouriensis (Torr.) Goodman & C.A. Lawson,Leonard's skullcap,Lamiaceae
SCPAM,SCAM4,Scutellaria ambigua Nutt.,hybrid violet,Lamiaceae
SCPAM,SCLE,Scutellaria leonardii Epling,hybrid violet,Lamiaceae
SCPAM,SCNEA,Scutellaria nervosa Pursh var. ambigua (Nutt.) Fernald,hybrid violet,Lamiaceae
SCPAM,SCPAL,Scutellaria parvula Michx. var. leonardii (Epling) Fernald,hybrid violet,Lamiaceae
SCUTE,ABAB3,Scutellaria L.,skullcap,Lamiaceae
SIDER,ABAB3,Sideritis L.,ironwort,Lamiaceae
SIMO3,ABAB3,Sideritis montana L.,mountain ironwort,Lamiaceae
STACH,ABAB3,Stachys L.,hedgenettle,Lamiaceae
STBY,ABAB3,Stachys byzantina K. Koch,woolly hedgenettle,Lamiaceae
STBY,STOL2,Stachys olympica Poir.,hybrid violet,Lamiaceae
STHY3,ABAB3,Stachys hyssopifolia Michx.,hyssopleaf hedgenettle,Lamiaceae
STHY3,STAT2,Stachys atlantica Britton,hybrid violet,Lamiaceae
STHY3,STHYL,Stachys hyssopifolia Michx. var. lythroides (Small) J.B. Nelson,hybrid violet,Lamiaceae
STHY3,STLY2,Stachys lythroides Small,hybrid violet,Lamiaceae
STPA,ABAB3,Stachys palustris L.,marsh hedgenettle,Lamiaceae
STPA,STPAE,Stachys palustris L. var. elliptica Clos,hybrid violet,Lamiaceae
STPA,STPAP7,Stachys palustris L. var. petiolata Clos,hybrid violet,Lamiaceae
STPA,STPAS,Stachys palustris L. var. segetum (Mutel) Grogn.,hybrid violet,Lamiaceae
STPI6,ABAB3,Stachys pilosa Nutt.,hairy hedgenettle,Lamiaceae
STPIA,ABAB3,Stachys pilosa Nutt. var. arenicola (Britton) G. Mulligan & D. Munro,hairy hedgenettle,Lamiaceae
STPIA,STAR5,Stachys arenicola Britton,hybrid violet,Lamiaceae
STPIA,STPAA2,Stachys palustris L. ssp. arenicola (Britton) Gill,hybrid violet,Lamiaceae
STPIP5,ABAB3,Stachys pilosa Nutt. var. pilosa,hairy hedgenettle,Lamiaceae
STPIP5,STAS3,Stachys asperrima Rydb.,hybrid violet,Lamiaceae
STPIP5,STBO4,Stachys borealis Rydb.,hybrid violet,Lamiaceae
STPIP5,STHO3,Stachys homotricha (Fernald) Rydb.,hybrid violet,Lamiaceae
STPIP5,STPAP2,Stachys palustris L. ssp. pilosa (Nutt.) Epling,hybrid violet,Lamiaceae
STPIP5,STPAH,Stachys palustris L. var. homotricha Fernald,hybrid violet,Lamiaceae
STPIP5,STPAN,Stachys palustris L. var. nipigonensis Jennings,hybrid violet,Lamiaceae
STPIP5,STPAP5,Stachys palustris L. var. phaneropoda Weath.,hybrid violet,Lamiaceae
STPIP5,STPAP6,Stachys palustris L. var. pilosa (Nutt.) Fernald,hybrid violet,Lamiaceae
STPIP5,STPAP10,Stachys palustris L. var. puberula Jennings,hybrid violet,Lamiaceae
STPIP5,STSC6,Stachys scopulorum Greene,hybrid violet,Lamiaceae
STPIP5,STTE10,Stachys teucriifolia Rydb.,hybrid violet,Lamiaceae
STPIP5,STTE9,Stachys teucriiformis Rydb.,hybrid violet,Lamiaceae
STTE,ABAB3,Stachys tenuifolia Willd.,smooth hedgenettle,Lamiaceae
STTE,STGL4,Stachys glabra Riddell,hybrid violet,Lamiaceae
STTE,STHI,Stachys hispida Pursh,hybrid violet,Lamiaceae
STTE,STPAH2,Stachys palustris L. var. hispida (Pursh) B. Boivin,hybrid violet,Lamiaceae
STTE,STPAM,Stachys palustris L. var. macrocalyx Jennings,hybrid violet,Lamiaceae
STTE,STTEH,Stachys tenuifolia Willd. var. hispida (Pursh) Fernald,hybrid violet,Lamiaceae
STTE,STTEP,Stachys tenuifolia Willd. var. perlonga Fernald,hybrid violet,Lamiaceae
STTE,STTEP2,Stachys tenuifolia Willd. var. platyphylla Fernald,hybrid violet,Lamiaceae
TEBO,ABAB3,Teucrium botrys L.,cutleaf germander,Lamiaceae
TECA3,ABAB3,Teucrium canadense L.,Canada germander,Lamiaceae
TECAC,ABAB3,Teucrium canadense L. var. canadense,Canada germander,Lamiaceae
TECAC,TECAA,Teucrium canadense L. var. angustatum A. Gray,hybrid violet,Lamiaceae
TECAC,TECAL,Teucrium canadense L. var. littorale (E.P. Bicknell) Fernald,hybrid violet,Lamiaceae
TECAC,TECAV,Teucrium canadense L. var. virginicum (L.) Eaton,hybrid violet,Lamiaceae
TECAC,TELI5,Teucrium littorale E.P. Bicknell,hybrid violet,Lamiaceae
TECAO,ABAB3,Teucrium canadense L. var. occidentale (A. Gray) E.M. McClint. & Epling,western germander,Lamiaceae
TECAO,TEBO3,Teucrium boreale E.P. Bicknell,hybrid violet,Lamiaceae
TECAO,TECAO2,Teucrium canadense L. ssp. occidentale (A. Gray) W.A. Weber,hybrid violet,Lamiaceae
TECAO,TECAV2,Teucrium canadense L. ssp. viscidum (Piper) Roy L. Taylor & MacBryde p.p.,hybrid violet,Lamiaceae
TECAO,TECAB,Teucrium canadense L. var. boreale (E.P. Bicknell) Shinners,hybrid violet,Lamiaceae
TECAO,TEOC,Teucrium occidentale A. Gray,hybrid violet,Lamiaceae
TECAO,TEOCB,Teucrium occidentale A. Gray var. boreale (E.P. Bicknell) Fernald,hybrid violet,Lamiaceae
TEUCR,ABAB3,Teucrium L.,germander,Lamiaceae
THPU5,ABAB3,Thymus pulegioides L.,lemon thyme,Lamiaceae
THPU5,THSEC,Thymus serpyllum L. ssp. chamaedrys (Fr.) Voll.,hybrid violet,Lamiaceae
THPU5,THSEA,Thymus serpyllum L. var. albus hort.,hybrid violet,Lamiaceae
THYMU,ABAB3,Thymus L.,thyme,Lamiaceae
TRBR5,ABAB3,Trichostema brachiatum L.,fluxweed,Lamiaceae
TRBR5,ISBR3,"Isanthus brachiatus (L.) Britton, Sterns & Poggenb.",hybrid violet,Lamiaceae
TRBR5,ISBRL,"Isanthus brachiatus (L.) Britton, Sterns & Poggenb. var. linearis Fassett",hybrid violet,Lamiaceae
TRBR5,TEVI2,Tetraclea viscida Lundell,hybrid violet,Lamiaceae
TRDI2,ABAB3,Trichostema dichotomum L.,forked bluecurls,Lamiaceae
TRDI2,TRDIP,Trichostema dichotomum L. var. puberulum Fernald & Grisc.,hybrid violet,Lamiaceae
TRDI2,TRPI5,Trichostema pilosum Roth,hybrid violet,Lamiaceae
TRICH9,ABAB3,Trichostema L.,bluecurls,Lamiaceae
TRSE5,ABAB3,Trichostema setaceum Houtt.,narrowleaf bluecurls,Lamiaceae
TRSE5,TRDIL,Trichostema dichotomum L. var. lineare (Walter) Pursh,hybrid violet,Lamiaceae
TRSE5,TRLI5,Trichostema lineare Walter,hybrid violet,Lamiaceae
AKEBI,ABAB3,Akebia Decne.,chocolate vine,Lardizabalaceae
AKQU,ABAB3,Akebia quinata (Houtt.) Decne.,chocolate vine,Lardizabalaceae
LIBE3,ABAB3,Lindera benzoin (L.) Blume,northern spicebush,Lauraceae
LIBEB,ABAB3,Lindera benzoin (L.) Blume var. benzoin,northern spicebush,Lauraceae
LIBEB,BEAE,Benzoin aestivale (L.) Nees,hybrid violet,Lauraceae
LINDE2,ABAB3,Lindera Thunb.,spicebush,Lauraceae
SAAL5,ABAB3,Sassafras albidum (Nutt.) Nees,sassafras,Lauraceae
SAAL5,LAAL5,Laurus albidus Nutt.,hybrid violet,Lauraceae
SAAL5,LASA6,Laurus sassafras L.,hybrid violet,Lauraceae
SAAL5,SAALM2,Sassafras albidum (Nutt.) Nees var. molle (Raf.) Fernald,hybrid violet,Lauraceae
SAAL5,SAOF5,Sassafras officinale Nees & Eberm.,hybrid violet,Lauraceae
SAAL5,SASA17,"Sassafras sassafras (L.) Karst., nom. inval.",hybrid violet,Lauraceae
SAAL5,SAVA7,Sassafras variifolium (Salisb.) Kuntze,hybrid violet,Lauraceae
SASSA,ABAB3,Sassafras Nees & Eberm.,sassafras,Lauraceae
JADO,ABAB3,Japewiella dollypartoniana J.L. Allen & Lendemer,Dolly Parton's lichen,Lecanoraceae
JAPEW2,ABAB3,Japewiella Printzen,hybrid violet,Lecanoraceae
LECAN4,ABAB3,Lecanora Ach.,rim lichen,Lecanoraceae
LEMI3,ABAB3,Lemna minor L.,common duckweed,Lemnaceae
LEMI3,LECY4,Lemna cyclostasa Elliott ex Schleid.,hybrid violet,Lemnaceae
LEMI3,LEMI2,Lemna minima Chevall. ex Schleid.,hybrid violet,Lemnaceae
LEMNA,ABAB3,Lemna L.,duckweed,Lemnaceae
LEPE,ABAB3,Lemna perpusilla Torr.,minute duckweed,Lemnaceae
LEPE,LEPET,Lemna perpusilla Torr. var. trinervis Austin,hybrid violet,Lemnaceae
LETR,ABAB3,Lemna trisulca L.,star duckweed,Lemnaceae
LETU2,ABAB3,Lemna turionifera Landolt,turion duckweed,Lemnaceae
LEVA,ABAB3,Lemna valdiviana Phil.,valdivia duckweed,Lemnaceae
LEVA,LECY5,Lemna cyclostasa (Elliott) C.H. Thomp.,hybrid violet,Lemnaceae
LEVA,LETO3,Lemna torreyi Austin,hybrid violet,Lemnaceae
SPIRO,ABAB3,Spirodela Schleid.,duckmeat,Lemnaceae
SPPO,ABAB3,Spirodela polyrrhiza (L.) Schleid.,common duckmeat,Lemnaceae
SPPO,LEPO21,Lemna polyrrhiza L.,hybrid violet,Lemnaceae
SPPO,SPPO8,"Spirodela polyrhiza (L.) Schleiden, orth. var.",hybrid violet,Lemnaceae
SPPO,SPPOM,Spirodela polyrrhiza (L.) Schleid. var. masonii Daubs,hybrid violet,Lemnaceae
WOBO,ABAB3,Wolffia borealis (Engelm. ex Hegelm.) Landolt ex Landolt & Wildi,northern watermeal,Lemnaceae
WOBO,WOPU,Wolffia punctata auct. non Griseb.,hybrid violet,Lemnaceae
WOBR,ABAB3,Wolffia brasiliensis Weddell,Brazilian watermeal,Lemnaceae
WOBR,BRPU14,Bruniera punctata (Griseb.) Nieuwl.,hybrid violet,Lemnaceae
WOBR,WOPA,Wolffia papulifera C.H. Thomp.,hybrid violet,Lemnaceae
WOBR,WOPU2,Wolffia punctata Griseb.,hybrid violet,Lemnaceae
WOCO,ABAB3,Wolffia columbiana Karst.,Columbian watermeal,Lemnaceae
WOCO,BRCO10,Bruniera columbiana (Karst.) Nieuwl.,hybrid violet,Lemnaceae
WOLFF,ABAB3,Wolffia Horkel ex Schleid.,watermeal,Lemnaceae
UTCO,ABAB3,Utricularia cornuta Michx.,horned bladderwort,Lentibulariaceae
UTCO,STCO15,Stomoisia cornuta (Michx.) Raf.,hybrid violet,Lentibulariaceae
UTGE,ABAB3,Utricularia geminiscapa Benj.,hiddenfruit bladderwort,Lentibulariaceae
UTGI,ABAB3,Utricularia gibba L.,humped bladderwort,Lentibulariaceae
UTGI,UTBI,Utricularia biflora Lam.,hybrid violet,Lentibulariaceae
UTGI,UTFI,Utricularia fibrosa Walter,hybrid violet,Lentibulariaceae
UTGI,UTOB,Utricularia obtusa Sw.,hybrid violet,Lentibulariaceae
UTGI,UTPU3,Utricularia pumila Walter,hybrid violet,Lentibulariaceae
UTIN2,ABAB3,Utricularia intermedia Hayne,flatleaf bladderwort,Lentibulariaceae
UTMA,ABAB3,Utricularia macrorhiza Leconte,common bladderwort,Lentibulariaceae
UTMA,UTVU,Utricularia vulgaris L. p.p.,hybrid violet,Lentibulariaceae
UTMA,UTVUM,Utricularia vulgaris L. ssp. macrorhiza (Leconte) R.T. Clausen,hybrid violet,Lentibulariaceae
UTMA,UTVUA,Utricularia vulgaris L. var. americana A. Gray,hybrid violet,Lentibulariaceae
UTMI,ABAB3,Utricularia minor L.,lesser bladderwort,Lentibulariaceae
UTPU,ABAB3,Utricularia purpurea Walter,eastern purple bladderwort,Lentibulariaceae
UTPU,VEPU4,Vesiculina purpurea (Walter) Raf.,hybrid violet,Lentibulariaceae
UTRA,ABAB3,Utricularia radiata Small,little floating bladderwort,Lentibulariaceae
UTRA,UTINM,Utricularia inflata Walter var. minor Chapm.,hybrid violet,Lentibulariaceae
UTRE,ABAB3,Utricularia resupinata B.D. Greene ex Bigelow,lavender bladderwort,Lentibulariaceae
UTRE,LERE11,Lecticula resupinata (B.D. Greene ex Bigelow) Barnhart,hybrid violet,Lentibulariaceae
UTRIC,ABAB3,Utricularia L.,bladderwort,Lentibulariaceae
UTST,ABAB3,Utricularia striata Leconte ex Torr.,striped bladderwort,Lentibulariaceae
UTST,UTFI3,"Utricularia fibrosa sensu Britton, non Walter",hybrid violet,Lentibulariaceae
CLAOP,ABAB3,Claopodium (Lesq. & James) Renauld & Cardot,claopodium moss,Leskeaceae
CLPE8,ABAB3,Claopodium pellucinerve (Mitt.) Best,claopodium moss,Leskeaceae
CLPE8,CLSU17,Claopodium subpiliferum (Lindb. & Arnell) Broth.,hybrid violet,Leskeaceae
ALCA3,ABAB3,Allium canadense L.,meadow garlic,Liliaceae
ALCAC,ABAB3,Allium canadense L. var. canadense,meadow garlic,Liliaceae
ALCAC,ALAC3,Allium acetabulum (Raf.) Shinners,hybrid violet,Liliaceae
ALCAC,ALCAO,Allium canadense L. var. ovoideum Farw.,hybrid violet,Liliaceae
ALCAC,ALCAR,Allium canadense L. var. robustum Farw.,hybrid violet,Liliaceae
ALCAC,ALCO4,Allium continuum Small,hybrid violet,Liliaceae
ALCE,ABAB3,Allium cepa L.,garden onion,Liliaceae
ALCE,ALCEA2,Allium cepa L. var. aggregatum G. Don,hybrid violet,Liliaceae
ALCE,ALCEC,Allium cepa L. var. cepa,hybrid violet,Liliaceae
ALCE,ALCEM,Allium cepa L. var. multiplicans L.H. Bailey,hybrid violet,Liliaceae
ALCE,ALCEP,Allium cepa L. var. proliferum (Moench) Regel,hybrid violet,Liliaceae
ALCE,ALCES,Allium cepa L. var. solaninum Alef.,hybrid violet,Liliaceae
ALETR,ABAB3,Aletris L.,colicroot,Liliaceae
ALFA2,ABAB3,Aletris farinosa L.,white colicroot,Liliaceae
ALLIU,ABAB3,Allium L.,onion,Liliaceae
ALPR6,ABAB3,Allium ×proliferum (Moench) Schrad. ex Willd. [cepa × fistulosum],garden onion,Liliaceae
ALPR6,ALCEB,Allium cepa L. var. bulbiferum Regel,hybrid violet,Liliaceae
ALPR6,ALCEV,Allium cepa L. var. viviparum (Metz.) Mansf.,hybrid violet,Liliaceae
ALSC,ABAB3,Allium schoenoprasum L.,wild chives,Liliaceae
ALSCS,ABAB3,Allium schoenoprasum L. var. sibiricum (L.) Hartm.,wild chives,Liliaceae
ALSCS,ALSCS3,Allium schoenoprasum L. ssp. sibiricum (L.) Celak.,hybrid violet,Liliaceae
ALSCS,ALSCL,Allium schoenoprasum L. var. laurentianum Fernald,hybrid violet,Liliaceae
ALSCS,ALSI4,Allium sibiricum L.,hybrid violet,Liliaceae
ALSCS2,ABAB3,Allium schoenoprasum L. var. schoenoprasum,wild chives,Liliaceae
ALTR3,ABAB3,Allium tricoccum Aiton,ramp,Liliaceae
ALTR3,VATR,Validallium tricoccum (Aiton) Small,hybrid violet,Liliaceae
ALVI,ABAB3,Allium vineale L.,wild garlic,Liliaceae
ALVIV,ABAB3,Allium vineale L. ssp. vineale,wild garlic,Liliaceae
ASOF,ABAB3,Asparagus officinalis L.,garden asparagus,Liliaceae
ASOF,ASOFO2,Asparagus officinalis L. ssp. officinalis,hybrid violet,Liliaceae
ASPAR,ABAB3,Asparagus L.,asparagus,Liliaceae
CHAMA6,ABAB3,Chamaelirium Willd.,chamaelirium,Liliaceae
CHLU,ABAB3,Chamaelirium luteum (L.) A. Gray,fairywand,Liliaceae
CHLU,CHOB5,Chamaelirium obovale Small,hybrid violet,Liliaceae
CHLU,VELU,Veratrum luteum L.,hybrid violet,Liliaceae
CLBO3,ABAB3,Clintonia borealis (Aiton) Raf.,bluebead,Liliaceae
CLBO3,DRBO4,Dracaena borealis Aiton,hybrid violet,Liliaceae
CLINT,ABAB3,Clintonia Raf.,bluebead,Liliaceae
COMA7,ABAB3,Convallaria majalis L.,European lily of the valley,Liliaceae
CONVA,ABAB3,Convallaria L.,convallaria,Liliaceae
ERAM5,ABAB3,Erythronium americanum Ker Gawl.,dogtooth violet,Liliaceae
ERAMA2,ABAB3,Erythronium americanum Ker Gawl. ssp. americanum,dogtooth violet,Liliaceae
ERYTH3,ABAB3,Erythronium L.,fawnlily,Liliaceae
HEFU,ABAB3,Hemerocallis fulva (L.) L.,orange daylily,Liliaceae
HEFU,HEFUF3,Hemerocallis fulva (L.) L. var. fulva,hybrid violet,Liliaceae
HEFU,HEFUK,Hemerocallis fulva (L.) L. var. kwanso Regel,hybrid violet,Liliaceae
HEFU,HEFUR2,Hemerocallis fulva (L.) L. var. rosea Stout,hybrid violet,Liliaceae
HELI4,ABAB3,Hemerocallis lilioasphodelus L.,yellow daylily,Liliaceae
HELI4,HEFL13,Hemerocallis flava (L.) L.,hybrid violet,Liliaceae
HELI4,HELIF,Hemerocallis lilioasphodelus L. var. flava L.,hybrid violet,Liliaceae
HELI4,HELIM2,Hemerocallis lilioasphodelus L. var. major hort.,hybrid violet,Liliaceae
HEMER,ABAB3,Hemerocallis L.,daylily,Liliaceae
HOLA3,ABAB3,Hosta lancifolia (Thunb.) Engl.,narrowleaf plantain lily,Liliaceae
